Node,Community
DTDD_1m,1
DTDD_2m,1
DTDD_3m,1
DTDD_4m,1
DTDD_1p,2
DTDD_2p,2
DTDD_3p,2
DTDD_4p,2
DTDD_1n,0
DTDD_2n,0
DTDD_3n,0
DTDD_4n,0
