,score_Machiavellianism,score_Psychopathy,score_Narcissism
BFI_A_sum,1.1196609,0.91989523,0.6583765
BFI_C_sum,0.37559193,0.3867708,0.19790386
BFI_E_sum,0.44760722,0.059890516,0.5983041
BFI_N_sum,0.06686278,0.29979473,0.17484894
BFI_O_sum,0.3004688,0.18229894,0.47290415
TEQ_sum,0.61873645,1.3758707,0.17190874
age,0.6242292,0.47857314,1.3946394
