Sample,N,Alpha_Machiavellianism,Omega_Machiavellianism,Alpha_Psychopathy,Omega_Psychopathy,Alpha_Narcissism,Omega_Narcissism
sample_1_community,5902,0.828,0.828,0.763,0.771,0.846,0.85
sample_2_student,2071,0.802,0.804,0.621,0.638,0.833,0.837
sample_3_representative,1492,0.84,0.84,0.71,0.717,0.811,0.817
