Item,Theoretical,L1_Network,L4_Semantic
DTDD_1m,Machiavellianism,Comm_0,Sem_0
DTDD_2m,Machiavellianism,Comm_0,Sem_0
DTDD_3m,Machiavellianism,Comm_0,Sem_0
DTDD_4m,Machiavellianism,Comm_0,Sem_0
DTDD_1p,Psychopathy,Comm_2,Sem_2
DTDD_2p,Psychopathy,Comm_2,Sem_2
DTDD_3p,Psychopathy,Comm_2,Sem_2
DTDD_4p,Psychopathy,Comm_2,Sem_2
DTDD_1n,Narcissism,Comm_1,Sem_0
DTDD_2n,Narcissism,Comm_1,Sem_0
DTDD_3n,Narcissism,Comm_1,Sem_1
DTDD_4n,Narcissism,Comm_1,Sem_0
