,Test_R2,Test_MAE,Top_Predictor
score_Machiavellianism,0.19782824578735558,4.089487290200695,BFI_A_sum
score_Psychopathy,0.3253486412568354,3.214997132080879,TEQ_sum
score_Narcissism,0.12612173847694974,4.4831384175112445,age
