Trait,Architecture,Test_R2,Test_MAE
score_Machiavellianism,Elastic-Net,0.089,4.271
score_Machiavellianism,Random Forest,0.157,4.06
score_Machiavellianism,XGBoost Trees,0.167,4.026
score_Psychopathy,Elastic-Net,0.133,3.51
score_Psychopathy,Random Forest,0.241,3.185
score_Psychopathy,XGBoost Trees,0.254,3.156
score_Narcissism,Elastic-Net,0.074,4.576
score_Narcissism,Random Forest,0.097,4.511
score_Narcissism,XGBoost Trees,0.104,4.488
