Trait,Top_Interaction,Strength
score_Machiavellianism,TEQ_sum×BFI_O_sum,0.2393
score_Psychopathy,BFI_A_sum×BFI_O_sum,0.2934
score_Narcissism,BFI_O_sum×RSES_sum,0.1199
