,score_Machiavellianism,score_Psychopathy,score_Narcissism
age,0.07532089112282413,0.06168272831314867,0.15157798787361731
BFI_A_sum,0.3056502948283936,0.28337347437960136,0.2136666534303293
BFI_C_sum,0.0897516482875482,0.10815628454454101,0.05843824042658692
BFI_N_sum,0.0590981575691654,0.10203502803184332,0.06981044996408632
BFI_O_sum,0.11476247432659482,0.15513998810695623,0.12495051162220293
TEQ_sum,0.11938600815661256,0.26687435450270114,0.045280223996404426
RSES_sum,0.11268494697965636,0.07113537698426022,0.11296695195320919
