,score_Machiavellianism,score_Psychopathy,score_Narcissism
BFI_A_sum,0.43283582089552236,0.3188405797101449,0.22
BFI_C_sum,0.07462686567164178,0.0,0.01
BFI_N_sum,0.014925373134328358,0.028985507246376812,0.05
BFI_O_sum,0.08955223880597014,0.014492753623188406,0.21
RSES_sum,0.0,0.0,0.14
TEQ_sum,0.05970149253731343,0.4057971014492754,0.04
age,0.3283582089552239,0.2318840579710145,0.33
