Model,CFI,TLI,RMSEA,N
1-Factor,0.6861605967236969,0.6164185071067407,0.1722250917158069,5902
2-Factor,0.8493649656972342,0.8124167497361784,0.12043830380002074,5902
3-Factor,0.9406421427794406,0.9231839494792761,0.07707146056442173,5902
