Sample,N,Trait,Replicated_R2,Replicated_MAE,Top_Feature_Driver
Sample 1 (Community),5903,score_Machiavellianism,0.239,3.938,BFI_A_sum
Sample 1 (Community),5903,score_Psychopathy,0.359,3.151,TEQ_sum
Sample 1 (Community),5903,score_Narcissism,0.177,4.36,age
Sample 2 (Student),2071,score_Machiavellianism,0.168,4.085,age
Sample 2 (Student),2071,score_Psychopathy,0.256,2.643,TEQ_sum
Sample 2 (Student),2071,score_Narcissism,0.209,4.317,age
Sample 3 (Representative),1492,score_Machiavellianism,0.369,3.282,BFI_A_sum
Sample 3 (Representative),1492,score_Psychopathy,0.416,2.697,BFI_A_sum
Sample 3 (Representative),1492,score_Narcissism,0.276,3.493,BFI_A_sum
