Trait,M_Group0.0,M_Group1.0,t,p,Cohen_d
score_Machiavellianism,10.94,12.44,-12.52,0.0,-0.272
score_Psychopathy,8.48,11.03,-24.423,0.0,-0.54
score_Narcissism,13.12,13.76,-5.257,0.0,-0.112
