,Equation,Train_MAE,Length,Depth
score_Machiavellianism,"max(add(add(mul(0.538, max(add(max(add(div(BFI_A_sum, BFI_N_sum), add(add(max(add(div(BFI_C_sum, BFI_C_sum), add(mul(0.538, max(add(max(add(div(BFI_A_sum, BFI_N_sum), add(div(BFI_C_sum, BFI_C_sum), add(max(add(div(BFI_C_sum, BFI_C_sum), max(add(div(BFI_C_sum, BFI_C_sum), div(BFI_N_sum, TEQ_sum)), add(div(BFI_C_sum, BFI_C_sum), max(add(div(BFI_C_sum, BFI_C_sum), div(BFI_N_sum, TEQ_sum)), div(BFI_N_sum, TEQ_sum))))), mul(max(BFI_N_sum, TEQ_sum), 0.322)), div(BFI_C_sum, BFI_C_sum)))), mul(0.538, RSES_sum)), div(BFI_N_sum, TEQ_sum)), mul(min(RSES_sum, RSES_sum), 0.322))), div(BFI_N_sum, TEQ_sum))), mul(max(BFI_N_sum, TEQ_sum), 0.322)), div(BFI_C_sum, BFI_C_sum)), div(BFI_C_sum, BFI_C_sum))), mul(0.538, RSES_sum)), div(BFI_N_sum, TEQ_sum)), mul(min(RSES_sum, RSES_sum), 0.322))), div(BFI_N_sum, TEQ_sum)), div(BFI_N_sum, TEQ_sum)), mul(max(BFI_N_sum, TEQ_sum), 0.322))",4.5696,117,27
score_Psychopathy,"max(div(add(add(-0.427, TEQ_sum), add(mul(add(-0.427, TEQ_sum), 0.322), add(-0.427, TEQ_sum))), mul(add(-0.427, TEQ_sum), 0.322)), div(add(max(TEQ_sum, BFI_C_sum), max(mul(add(-0.427, TEQ_sum), 0.322), BFI_N_sum)), mul(TEQ_sum, 0.322)))",3.6247,35,6
score_Narcissism,"max(add(max(add(max(add(max(add(max(add(max(add(max(add(add(add(mul(BFI_N_sum, 0.322), div(add(TEQ_sum, div(BFI_N_sum, TEQ_sum)), mul(BFI_N_sum, 0.322))), div(age, age)), div(BFI_N_sum, TEQ_sum)), mul(0.538, TEQ_sum)), div(0.322, BFI_N_sum)), mul(0.538, TEQ_sum)), div(div(BFI_N_sum, TEQ_sum), TEQ_sum)), mul(0.538, TEQ_sum)), div(0.322, TEQ_sum)), mul(0.538, TEQ_sum)), div(div(BFI_N_sum, mul(BFI_N_sum, 0.322)), TEQ_sum)), mul(0.538, TEQ_sum)), div(0.322, TEQ_sum)), mul(0.538, TEQ_sum)), div(div(BFI_N_sum, TEQ_sum), TEQ_sum)), mul(0.538, TEQ_sum))",4.9261,81,19
